78.00, 23.00
78.00, 23.00
78.00, 23.90
78.00, 23.90
78.00, 23.90
78.00, 23.90
78.00, 23.30
78.00, 23.30
78.00, 23.30
78.00, 23.30
78.00, 23.00
78.00, 23.00
78.00, 23.00
78.00, 23.00
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.30
78.00, 23.30
78.00, 23.30
78.00, 23.30
78.00, 23.10
78.00, 23.10
78.00, 23.10
78.00, 23.10
78.00, 23.90
78.00, 23.90
78.00, 23.90
78.00, 23.90
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.90
78.00, 23.90
78.00, 23.90
78.00, 23.90
78.00, 23.80
78.00, 23.80
78.00, 23.80
78.00, 23.80
78.00, 23.50
78.00, 23.50
78.00, 23.50
78.00, 23.50
78.00, 23.80
78.00, 23.80
78.00, 23.80
78.00, 23.80
78.00, 23.90
78.00, 23.90
78.00, 23.90
78.00, 23.90
78.00, 23.00
78.00, 23.00
78.00, 23.00
78.00, 23.00
78.00, 23.50
78.00, 23.50
78.00, 23.50
78.00, 23.50
78.00, 23.70
78.00, 23.70
78.00, 23.70
78.00, 23.70
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.40
78.00, 23.40
78.00, 23.40
78.00, 23.40
78.00, 23.80
78.00, 23.80
78.00, 23.80
78.00, 23.80
78.00, 23.80
78.00, 23.80
78.00, 23.80
78.00, 23.80
78.00, 23.70
78.00, 23.70
78.00, 23.70
78.00, 23.70
78.00, 23.90
78.00, 23.90
78.00, 23.90
78.00, 23.90
78.00, 23.10
78.00, 23.10
78.00, 23.10
78.00, 23.10
78.00, 23.60
78.00, 23.60
78.00, 23.60
78.00, 23.60
78.00, 23.70
78.00, 23.70
78.00, 23.70
78.00, 23.70
78.00, 23.80
78.00, 23.80
78.00, 23.80
78.00, 23.80
78.00, 23.70
78.00, 23.70
78.00, 23.70
78.00, 23.70
78.00, 23.00
78.00, 23.00
78.00, 23.00
78.00, 23.00
78.00, 23.40
78.00, 23.40
78.00, 23.40
78.00, 23.40
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.30
78.00, 23.30
78.00, 23.30
78.00, 23.30
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.20
78.00, 23.30
78.00, 23.30
78.00, 23.30
78.00, 23.30
78.00, 23.10
78.00, 23.10
